=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:10:14
Timestamp: 389699 ms
Current Heap: free=70192, largestBlock=23540 (33.5%), freeBlocks=20
Baseline: largestBlock=233460 (set 388593 ms ago)
Degradation: 209920 bytes (89.9% loss from baseline)

=== Recent Operations (last 300) ===
[  389076] WebClientModule:346  | WebClient::accessResource      | heap= 70532, largest= 23540 (33.4%)
[  389076] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 71208, largest= 23540 (33.1%)
[  389078] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 71208, largest= 23540 (33.1%)
[  389078] DartsRankingMod:448  | DartsRankingModule::processData | heap= 71208, largest= 23540 (33.1%)
[  389078] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 71208, largest= 23540 (33.1%)
[  389078] CalendarModule.:112  | CalendarModule::processData    | heap= 71208, largest= 23540 (33.1%)
[  389078] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 71208, largest= 23540 (33.1%)
[  389079] WeatherModule.c:204  | WeatherModule::processData     | heap= 71208, largest= 23540 (33.1%)
[  389079] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 71208, largest= 23540 (33.1%)
[  389090] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 71208, largest= 23540 (33.1%)
[  389091] WebClientModule:346  | WebClient::accessResource      | heap= 70676, largest= 23540 (33.3%)
[  389091] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 71208, largest= 23540 (33.1%)
[  389091] WebClientModule:346  | WebClient::accessResource      | heap= 71160, largest= 23540 (33.1%)
[  389091] WebClientModule:346  | WebClient::accessResource      | heap= 71144, largest= 23540 (33.1%)
[  389092] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 71208, largest= 23540 (33.1%)
[  389092] WebClientModule:346  | WebClient::accessResource      | heap= 71128, largest= 23540 (33.1%)
[  389092] WebClientModule:346  | WebClient::accessResource      | heap= 71112, largest= 23540 (33.1%)
[  389093] CalendarModule.:94   | CalendarModule::queueData      | heap= 71208, largest= 23540 (33.1%)
[  389093] WebClientModule:346  | WebClient::accessResource      | heap= 71032, largest= 23540 (33.1%)
[  389093] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 71208, largest= 23540 (33.1%)
