=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:04:12
Timestamp: 27497 ms
Current Heap: free=77920, largestBlock=35828 (46.0%), freeBlocks=13
Baseline: largestBlock=233460 (set 26391 ms ago)
Degradation: 197632 bytes (84.7% loss from baseline)

=== Recent Operations (last 300) ===
[   27029] WebClientModule:346  | WebClient::accessResource      | heap= 78308, largest= 35828 (45.8%)
[   27030] WebClientModule:346  | WebClient::accessResource      | heap= 78792, largest= 35828 (45.5%)
[   27030] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 78984, largest= 35828 (45.4%)
[   27031] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 78984, largest= 35828 (45.4%)
[   27031] DartsRankingMod:448  | DartsRankingModule::processData | heap= 78984, largest= 35828 (45.4%)
[   27032] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 78984, largest= 35828 (45.4%)
[   27032] CalendarModule.:112  | CalendarModule::processData    | heap= 78984, largest= 35828 (45.4%)
[   27032] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 78984, largest= 35828 (45.4%)
[   27032] WeatherModule.c:204  | WeatherModule::processData     | heap= 78984, largest= 35828 (45.4%)
[   27032] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 78984, largest= 35828 (45.4%)
[   27076] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 78936, largest= 35828 (45.4%)
[   27076] WebClientModule:346  | WebClient::accessResource      | heap= 78404, largest= 35828 (45.7%)
[   27076] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 78936, largest= 35828 (45.4%)
[   27077] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   27077] WebClientModule:346  | WebClient::accessResource      | heap= 78872, largest= 35828 (45.4%)
[   27077] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 78936, largest= 35828 (45.4%)
[   27077] WebClientModule:346  | WebClient::accessResource      | heap= 78856, largest= 35828 (45.4%)
[   27078] WebClientModule:346  | WebClient::accessResource      | heap= 78840, largest= 35828 (45.4%)
[   27078] CalendarModule.:94   | CalendarModule::queueData      | heap= 78936, largest= 35828 (45.4%)
[   27078] WebClientModule:346  | WebClient::accessResource      | heap= 78760, largest= 35828 (45.5%)
[   27079] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 78936, largest= 35828 (45.4%)
[   27080] WebClientModule:346  | WebClient::accessResource      | heap= 78856, largest= 35828 (45.4%)
[   27080] WeatherModule.c:138  | WeatherModule::queueData       | heap= 78936, largest= 35828 (45.4%)
[   27080] WebClientModule:346  | WebClient::accessResource      | heap= 78260, largest= 35828 (45.8%)
[   27081] WebClientModule:346  | WebClient::accessResource      | heap= 78744, largest= 35828 (45.5%)
[   27081] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 78936, largest= 35828 (45.4%)
[   27083] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 78936, largest= 35828 (45.4%)
[   27083] DartsRankingMod:448  | DartsRankingModule::processData | heap= 78936, largest= 35828 (45.4%)
[   27083] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 78936, largest= 35828 (45.4%)
[   27083] CalendarModule.:112  | CalendarModule::processData    | heap= 78936, largest= 35828 (45.4%)
[   27084] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 78936, largest= 35828 (45.4%)
[   27084] WeatherModule.c:204  | WeatherModule::processData     | heap= 78936, largest= 35828 (45.4%)
[   27084] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 78936, largest= 35828 (45.4%)
[   27128] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 78984, largest= 35828 (45.4%)
[   27129] WebClientModule:346  | WebClient::accessResource      | heap= 78452, largest= 35828 (45.7%)
[   27129] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 78984, largest= 35828 (45.4%)
[   27129] WebClientModule:346  | WebClient::accessResource      | heap= 78936, largest= 35828 (45.4%)
[   27129] WebClientModule:346  | WebClient::accessResource      | heap= 78920, largest= 35828 (45.4%)
[   27130] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 78984, largest= 35828 (45.4%)
[   27130] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   27131] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   27131] CalendarModule.:94   | CalendarModule::queueData      | heap= 78984, largest= 35828 (45.4%)
[   27131] WebClientModule:346  | WebClient::accessResource      | heap= 78808, largest= 35828 (45.5%)
[   27131] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 78984, largest= 35828 (45.4%)
[   27132] WebClientModule:346  | WebClient::accessResource      | heap= 78904, largest= 35828 (45.4%)
[   27132] WeatherModule.c:138  | WeatherModule::queueData       | heap= 78984, largest= 35828 (45.4%)
[   27132] WebClientModule:346  | WebClient::accessResource      | heap= 78308, largest= 35828 (45.8%)
[   27133] WebClientModule:346  | WebClient::accessResource      | heap= 78792, largest= 35828 (45.5%)
[   27133] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 78984, largest= 35828 (45.4%)
[   27134] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 78984, largest= 35828 (45.4%)
[   27134] DartsRankingMod:448  | DartsRankingModule::processData | heap= 78984, largest= 35828 (45.4%)
[   27135] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 78984, largest= 35828 (45.4%)
[   27135] CalendarModule.:112  | CalendarModule::processData    | heap= 78984, largest= 35828 (45.4%)
[   27135] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 78984, largest= 35828 (45.4%)
[   27135] WeatherModule.c:204  | WeatherModule::processData     | heap= 78984, largest= 35828 (45.4%)
[   27135] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 78984, largest= 35828 (45.4%)
[   27178] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 78936, largest= 35828 (45.4%)
[   27179] WebClientModule:346  | WebClient::accessResource      | heap= 78404, largest= 35828 (45.7%)
[   27179] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 78936, largest= 35828 (45.4%)
[   27179] WebClientModule:346  | WebClient::accessResource      | heap= 78888, largest= 35828 (45.4%)
[   27179] WebClientModule:346  | WebClient::accessResource      | heap= 78872, largest= 35828 (45.4%)
[   27180] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 78936, largest= 35828 (45.4%)
[   27180] WebClientModule:346  | WebClient::accessResource      | heap= 78856, largest= 35828 (45.4%)
