=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:06:12
Timestamp: 148075 ms
Current Heap: free=76888, largestBlock=33780 (43.9%), freeBlocks=19
Baseline: largestBlock=233460 (set 146969 ms ago)
Degradation: 199680 bytes (85.5% loss from baseline)

=== Recent Operations (last 300) ===
[  147661] WebClientModule:346  | WebClient::accessResource      | heap= 77524, largest= 33780 (43.6%)
[  147661] WebClientModule:346  | WebClient::accessResource      | heap= 77508, largest= 33780 (43.6%)
[  147662] CalendarModule.:94   | CalendarModule::queueData      | heap= 77604, largest= 33780 (43.5%)
[  147662] WebClientModule:346  | WebClient::accessResource      | heap= 77428, largest= 33780 (43.6%)
[  147662] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 77604, largest= 33780 (43.5%)
[  147663] WebClientModule:346  | WebClient::accessResource      | heap= 77524, largest= 33780 (43.6%)
[  147663] WeatherModule.c:138  | WeatherModule::queueData       | heap= 77604, largest= 33780 (43.5%)
[  147663] WebClientModule:346  | WebClient::accessResource      | heap= 76928, largest= 33780 (43.9%)
[  147664] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 77604, largest= 33780 (43.5%)
[  147677] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 77860, largest= 33780 (43.4%)
[  147677] DartsRankingMod:448  | DartsRankingModule::processData | heap= 77860, largest= 33780 (43.4%)
[  147677] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 77860, largest= 33780 (43.4%)
[  147678] CalendarModule.:112  | CalendarModule::processData    | heap= 77860, largest= 33780 (43.4%)
[  147678] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 77860, largest= 33780 (43.4%)
[  147678] WeatherModule.c:204  | WeatherModule::processData     | heap= 77860, largest= 33780 (43.4%)
[  147678] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 77860, largest= 33780 (43.4%)
[  147740] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 77860, largest= 33780 (43.4%)
[  147740] WebClientModule:346  | WebClient::accessResource      | heap= 77328, largest= 33780 (43.7%)
[  147740] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 77860, largest= 33780 (43.4%)
[  147740] WebClientModule:346  | WebClient::accessResource      | heap= 77812, largest= 33780 (43.4%)
[  147741] WebClientModule:346  | WebClient::accessResource      | heap= 77796, largest= 33780 (43.4%)
[  147741] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 77860, largest= 33780 (43.4%)
[  147741] WebClientModule:346  | WebClient::accessResource      | heap= 77780, largest= 33780 (43.4%)
[  147742] WebClientModule:346  | WebClient::accessResource      | heap= 77764, largest= 33780 (43.4%)
[  147742] CalendarModule.:94   | CalendarModule::queueData      | heap= 77860, largest= 33780 (43.4%)
[  147742] WebClientModule:346  | WebClient::accessResource      | heap= 77684, largest= 33780 (43.5%)
[  147742] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 77860, largest= 33780 (43.4%)
[  147743] WebClientModule:346  | WebClient::accessResource      | heap= 77780, largest= 33780 (43.4%)
[  147743] WeatherModule.c:138  | WeatherModule::queueData       | heap= 77860, largest= 33780 (43.4%)
[  147743] WebClientModule:346  | WebClient::accessResource      | heap= 77184, largest= 33780 (43.8%)
[  147744] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 77860, largest= 33780 (43.4%)
[  147745] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 77860, largest= 33780 (43.4%)
[  147745] DartsRankingMod:448  | DartsRankingModule::processData | heap= 77860, largest= 33780 (43.4%)
[  147746] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 77860, largest= 33780 (43.4%)
[  147746] CalendarModule.:112  | CalendarModule::processData    | heap= 77860, largest= 33780 (43.4%)
[  147746] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 77860, largest= 33780 (43.4%)
[  147746] WeatherModule.c:204  | WeatherModule::processData     | heap= 77860, largest= 33780 (43.4%)
[  147746] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 77860, largest= 33780 (43.4%)
[  147795] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 77908, largest= 33780 (43.4%)
[  147796] WebClientModule:346  | WebClient::accessResource      | heap= 77376, largest= 33780 (43.7%)
[  147796] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 77908, largest= 33780 (43.4%)
[  147796] WebClientModule:346  | WebClient::accessResource      | heap= 77860, largest= 33780 (43.4%)
[  147796] WebClientModule:346  | WebClient::accessResource      | heap= 77844, largest= 33780 (43.4%)
[  147797] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 77908, largest= 33780 (43.4%)
[  147797] WebClientModule:346  | WebClient::accessResource      | heap= 77828, largest= 33780 (43.4%)
[  147798] WebClientModule:346  | WebClient::accessResource      | heap= 77812, largest= 33780 (43.4%)
[  147798] CalendarModule.:94   | CalendarModule::queueData      | heap= 77908, largest= 33780 (43.4%)
[  147798] WebClientModule:346  | WebClient::accessResource      | heap= 77732, largest= 33780 (43.5%)
[  147798] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 77908, largest= 33780 (43.4%)
[  147799] WebClientModule:346  | WebClient::accessResource      | heap= 77828, largest= 33780 (43.4%)
[  147799] WeatherModule.c:138  | WeatherModule::queueData       | heap= 77908, largest= 33780 (43.4%)
[  147799] WebClientModule:346  | WebClient::accessResource      | heap= 77232, largest= 33780 (43.7%)
[  147800] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 77908, largest= 33780 (43.4%)
[  147801] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 77908, largest= 33780 (43.4%)
[  147801] DartsRankingMod:448  | DartsRankingModule::processData | heap= 77908, largest= 33780 (43.4%)
[  147801] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 77908, largest= 33780 (43.4%)
[  147802] CalendarModule.:112  | CalendarModule::processData    | heap= 77908, largest= 33780 (43.4%)
[  147802] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 77908, largest= 33780 (43.4%)
[  147802] WeatherModule.c:204  | WeatherModule::processData     | heap= 77908, largest= 33780 (43.4%)
[  147802] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 77908, largest= 33780 (43.4%)
[  147863] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 77908, largest= 33780 (43.4%)
[  147863] WebClientModule:346  | WebClient::accessResource      | heap= 77376, largest= 33780 (43.7%)
[  147863] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 77908, largest= 33780 (43.4%)
[  147863] WebClientModule:346  | WebClient::accessResource      | heap= 77860, largest= 33780 (43.4%)
[  147864] WebClientModule:346  | WebClient::accessResource      | heap= 77844, largest= 33780 (43.4%)
[  147864] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 77908, largest= 33780 (43.4%)
[  147864] WebClientModule:346  | WebClient::accessResource      | heap= 77828, largest= 33780 (43.4%)
[  147865] WebClientModule:346  | WebClient::accessResource      | heap= 77812, largest= 33780 (43.4%)
[  147865] CalendarModule.:94   | CalendarModule::queueData      | heap= 77908, largest= 33780 (43.4%)
[  147865] WebClientModule:346  | WebClient::accessResource      | heap= 77732, largest= 33780 (43.5%)
[  147865] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 77908, largest= 33780 (43.4%)
[  147866] WebClientModule:346  | WebClient::accessResource      | heap= 77828, largest= 33780 (43.4%)
[  147866] WeatherModule.c:138  | WeatherModule::queueData       | heap= 77908, largest= 33780 (43.4%)
